date,doy,regime,yyyymmdd,meanU,meanV,wdCor,meanWS,maxWS,std_uv,ish_u,ish_v,meanWD,ish_wd,ish_ws,year,month,prRatio
2001-01-01,1,LCD,20010101,-4.807586,-4.2623153,12.547317504882812,6.4899135,9.435075,1.4018704,-4.602123256344479,-4.364939174349467,48.44040840366842,46.51515382463788,6.342888337528678,2001,1,0.0
2001-01-02,2,LCD,20010102,-3.9517464999999996,-1.2897295,43.39773941040039,4.3150635,5.8959660000000005,1.0282596,-3.8550885796518353,-1.0283213822623851,71.92489720430369,75.0644512696945,3.9898813042720986,2001,1,0.0
2001-01-03,3,NE,20010103,-5.370581,-3.3116891,18.84427261352539,6.388264700000001,10.6936455,1.6393098999999998,-4.608047846792855,-2.397507144347502,58.3405569928421,62.51262843162874,5.194434085204044,2001,1,0.2333333333333333
2001-01-04,4,NE,20010104,-10.926718,-3.0319287999999998,16.24374771118164,11.402371,15.481373000000001,2.332016,-13.045218554537447,-3.0053183578907534,74.49181158104362,77.0267217456796,13.386921437280614,2001,1,0.3333333333333333
2001-01-05,5,LCD,20010105,-10.780808,5.317408,34.75139617919922,12.4940815,15.918207999999998,2.9949060000000003,-11.700979923591593,6.818995416461003,116.25385465180187,120.23240531451859,13.54295498264724,2001,1,0.4666666666666667
2001-01-06,6,LCD,20010106,-4.966097,9.373287,36.06941223144531,11.004488,13.524265,2.3223248,-5.566754441414512,10.710770560031891,152.08473997018734,152.53755457812906,12.071013254928275,2001,1,0.3333333333333333
2001-01-07,7,FT,20010107,-3.9709315000000003,-4.610230400000001,46.7798843383789,6.429407,9.309471,1.7026154999999998,-3.9825299184694334,-5.4133943861195215,40.739319782648295,36.34120098894822,6.720519573007321,2001,1,0.36666666666666653
2001-01-08,8,LCD,20010108,-7.152166,-2.1112322999999997,25.01794815063477,7.633486,10.691472000000001,1.7006443,-7.225103760882062,-1.874345430679324,73.55404134100377,75.45684857260608,7.464267891027262,2001,1,0.06666666666666668
2001-01-09,9,FT,20010109,-4.3549514,-9.132216,24.80567169189453,10.248209,12.145107000000001,1.2471616,-4.828957000885013,-8.686233279766718,25.495438458600066,29.07109307281408,9.938283267593214,2001,1,0.16666666666666666
2001-01-10,10,LCD,20010110,-5.7584386,-4.5592084,27.5730094909668,7.4500413,10.170402000000001,1.2869858,-5.881644619915017,-4.05033700511042,51.62979587598068,55.44713901051386,7.141356544098754,2001,1,0.2333333333333333
2001-01-11,11,NE,20010111,-6.626527,-7.2459645,13.499382019042967,9.870026,11.4084635,0.8139529000000001,-6.705469205390933,-7.904911082710267,42.443313883512026,40.30681690325605,10.365854354080117,2001,1,0.2333333333333333
2001-01-12,12,LCD,20010112,-3.8961987000000002,1.4265264,53.37862777709961,4.278237,8.154707,1.565801,-3.8032955844806047,2.275267287985482,110.10933902675085,120.8893710559625,4.431918155235548,2001,1,0.2
2001-01-13,13,NE,20010113,-4.073939,-13.318263,16.32928466796875,14.026329999999998,15.82581,1.3545791999999999,-3.6418512696927436,-14.155105852622983,17.008408041193036,14.428240568879232,14.616090529602099,2001,1,0.1
2001-01-14,14,NE,20010114,-4.621494,-10.725675,29.05158233642578,12.016653999999999,13.509875,1.7553345,-3.429584936120044,-11.096386078219094,23.310311750013145,17.174927396104408,11.614294504228662,2001,1,0.16666666666666666
2001-01-15,15,NE,20010115,-4.380326999999999,-9.898366000000001,25.97283172607422,11.08729,13.5371,1.5555805,-3.062578376820256,-9.76974650289154,23.870843585875946,17.404941702309685,10.23852201467226,2001,1,0.13333333333333333
2001-01-16,16,NE,20010116,-5.5196986,-6.677148,31.32373046875,8.798252,10.990302999999999,1.397912,-4.817360175218907,-6.916991501108803,39.579012473991135,34.855401942278434,8.429218853737071,2001,1,0.03333333333333333
2001-01-17,17,LCD,20010117,-5.988871,-1.1155981000000001,26.356674194335934,6.2833343,8.535721,1.4550886,-5.5463683003711735,-1.1716140408633544,79.4479680802977,78.072199837359,5.668763602771807,2001,1,0.0
2001-01-18,18,LCD,20010118,-4.8670897,2.1225708,55.85574340820313,6.116182,7.765952,2.226334,-4.98193532209905,2.29552960456244,113.56234144307214,114.73886336764008,5.485356480576332,2001,1,0.06666666666666668
2001-01-19,19,LCD,20010119,-3.9306207000000004,4.0231504000000005,74.10063934326172,6.640353,8.4747305,2.6122432,-4.060531388380687,4.7177906776396386,135.66651734002244,139.2819172760887,6.224585450778892,2001,1,0.03333333333333333
2001-01-20,20,FT,20010120,-2.2490141,-3.7036983999999995,46.86865234375,4.7487226,8.070788,1.6757814999999998,-1.5509921800660358,-3.934076746708549,31.26757591595083,21.516616775373567,4.228774833402567,2001,1,0.0
2001-01-21,21,LCD,20010121,-6.2435975,-1.4707313999999998,30.78378677368164,6.687197,9.051684,1.7304283,-5.638443802899683,-2.039417159940081,76.74513702774209,70.11501424932379,5.995937864147352,2001,1,0.16666666666666666
2001-01-22,22,LCD,20010122,-2.0043576,1.8829237,144.62950134277344,3.8714106,7.1070967000000005,2.3735652000000003,-1.3973106429356004,2.8484640361360007,133.21073267161245,153.86979507484273,3.1727313781694937,2001,1,0.2
2001-01-23,23,FT,20010123,-5.476725599999999,0.29436094,33.74411773681641,5.778706,8.268003,1.6608903000000002,-5.987774952596032,-0.3885517654756687,93.07655123460232,86.28723398269995,6.000368435137186,2001,1,0.03333333333333333
2001-01-24,24,LCD,20010124,-2.1106555,7.497382000000001,42.64307403564453,8.082807,9.904266999999999,1.7183224999999998,-1.8461794937768,8.465736486336388,164.27708027901969,167.6977359275556,8.664702705767182,2001,1,0.43333333333333335
2001-01-25,25,FT,20010125,1.7036544999999998,2.7178164000000002,169.82911682128906,5.9236608,10.349777,3.8323894,1.4932237302293752,2.7607750491244025,212.0814115783365,208.40767918477863,3.1387252158142127,2001,1,0.6666666666666666
2001-01-26,26,FT,20010126,-0.7353911,-11.17493,11.948944091796875,11.42906,14.678698,2.4098532,-0.5732570828539614,-12.323506526406607,3.765047416101965,2.6633289146166987,12.336832526602139,2001,1,0.6666666666666666
