date,yyyymmdd,meanU,meanV,meanLTS,wdCor,meanWS,maxWS,ish_u,ish_v,ish_LTS,meanWD,ish_wd,ish_ws,year,month,prRatio
2091-01-14,20910114,-5.7793837,-5.114316,20.942526,11.40325164794922,7.7516007,11.019449,-5.40965688502312,-5.280836133319858,20.34819487361653,48.49360964614539,45.69038239508964,7.559868906314095,2091,1,0.0
2091-01-15,20910115,-6.331254,-2.9040017,21.58276,5.111099243164063,6.9788804,10.695524,-5.928499068830494,-2.832280580736162,21.22886085644531,65.36015663292935,64.4643323146075,6.570305510182856,2091,1,0.0
2091-01-16,20910116,-6.3048406,-1.3769782,20.470177,18.686752319335938,6.523989,9.673738,-6.230999092629753,-1.0092971228381018,20.348922725545247,77.68004337387094,80.79914443410036,6.312212795408761,2091,1,0.0
2091-01-17,20910117,-7.037738,-3.7289212,20.02614,4.202846527099609,7.967839,11.158618,-6.921854191577914,-3.481757762071929,19.824797525390625,62.08327430942808,63.297173948401934,7.74820640943521,2091,1,0.0
2091-01-18,20910118,-8.68961,-6.938491,19.452335,13.471206665039062,11.171843,13.500125,-8.40393520741908,-6.742999634848277,18.631129385294592,51.39328842852842,51.257761176707646,10.77470050841609,2091,1,0.1666666666666666
2091-01-19,20910119,-9.600019,-5.338984,18.404966,13.975875854492188,11.02146,13.6448965,-9.56974299834315,-4.992205721258802,17.61539885681152,60.91968066518689,62.45050007450931,10.793613807141094,2091,1,0.1666666666666666
2091-01-20,20910120,-9.886651,-1.0903414,18.002083,12.34433364868164,9.9901705,12.242759,-10.131816912694296,-0.8750412202026063,18.22756771057129,83.70661294525013,85.06385987331737,10.169533474521426,2091,1,0.2333333333333333
2091-01-21,20910121,-7.308888,0.71041054,17.587393,21.949481964111328,7.448472,9.300562,-7.101984100348155,1.0967900802905548,18.110454025268552,95.55160585103071,98.77907957112086,7.186176079238648,2091,1,0.1666666666666666
2091-01-25,20910125,-8.519261,1.9034779,15.881797,29.65583038330078,8.966692,10.697008,-8.447159431767783,2.3272974705845524,15.504139914632155,102.59485878501316,105.40354380893751,8.761895684285033,2091,1,0.0333333333333333
2091-01-26,20910126,-3.9787018,3.2754521,15.730473,55.56114959716797,5.7324324,7.0257807,-4.136644288675943,4.031304281512576,15.763456130737303,129.4627976811883,134.26111150392882,5.7760921202121525,2091,1,0.0
2091-01-28,20910128,-8.075889,-6.254602,14.720093,29.97665786743164,10.369454,13.159768,-7.617926769993473,-7.209072576855341,14.295677160115556,52.24298866798336,46.57952964111004,10.488257037818576,2091,1,0.2666666666666666
2091-01-29,20910129,-7.8322635,-2.1403644,14.484601,17.43221664428711,8.250775,12.135837,-6.973656170519515,-2.0004155710318883,14.608672105997725,74.71565777285326,73.99429231883241,7.254897851896451,2091,1,0.0333333333333333
2091-02-02,20910202,-6.8372207,-0.93284684,19.215782,30.32410430908203,7.159785,9.534367,-6.831381511496227,-0.582700961995761,18.611927769083657,82.23073227671512,85.12460431099646,6.856187990911805,2091,2,0.0
2091-02-03,20910203,-6.4842243,2.1140285,17.815207,44.97269058227539,7.318609,8.880521,-6.430671664363225,2.597949623639104,17.940028007161455,108.0573368586372,111.99838859649662,6.935624002338265,2091,2,0.0
2091-02-05,20910205,-3.5216086,3.8860157,17.206188,60.87359619140625,5.735936,7.7846045,-3.4279991023276644,4.435918963111876,17.215112989339197,137.81631033604765,142.30378999911932,5.606117631021919,2091,2,0.0666666666666666
2091-02-18,20910218,-5.743718,-3.7886841,15.249756,19.067657470703125,6.941297,10.558883,-5.040959319882079,-3.8909653869835537,14.765859366333004,56.59026879499692,52.33652587787674,6.367957483166016,2091,2,0.0
2091-02-19,20910219,-7.3183336,0.008735283,15.148122,23.501087188720703,7.4884872,9.87068,-6.989974907765072,0.1287870157601834,15.133881096761066,90.06838915148995,91.05552849118207,6.991161227336539,2091,2,0.0
2091-02-20,20910220,-4.7143474,5.123595,14.282984,48.29267883300781,7.4419208,9.235016,-4.633822387439092,5.428798600524265,14.282638436238605,137.3820696603525,139.5171503111415,7.1375180674647645,2091,2,0.0333333333333333
2091-02-25,20910225,-5.2171474,-3.5148776,14.224731,29.984600067138672,6.3471856,10.451075,-4.618752742836004,-3.658197029982567,14.518981223063154,56.0312059925169,51.61967181370363,5.891967617836031,2091,2,0.0666666666666666
2091-02-26,20910226,-3.720617,2.230938,14.922205,61.59416198730469,4.822329,7.1651816,-3.604840420366926,2.780168402046681,15.208288364908851,120.94753584860388,127.64056030411764,4.552385177030827,2091,2,0.1333333333333333
2091-03-01,20910301,-4.1834106,-1.5472775,16.386824,59.46862411499024,4.8050523,6.968288,-3.742230373717311,-1.7381715054505595,16.02097303784179,69.7025677895021,65.08632173894952,4.12620023173048,2091,3,0.0
2091-03-08,20910308,-4.6836214,0.48530725,14.476191,53.42299270629883,5.352271,7.7655416,-4.291608233255388,0.5029096402781783,14.254317470906573,95.9157595963634,96.68369027251912,4.320974350077787,2091,3,0.0
2091-03-09,20910309,-3.6532037,1.2813672,13.94116,77.2684097290039,4.9226937,6.882441,-3.413195670953435,1.4534459602050744,14.288165216878255,109.3284029781138,113.06582878877538,3.709772209644646,2091,3,0.0
2091-03-10,20910310,-2.678685,2.7083945,17.643095,84.24472045898438,4.9812207,6.4391484,-2.346246347596966,3.1426539914512595,17.56373695288086,135.3159812575754,143.25567369169255,3.921880420614152,2091,3,0.0
2091-03-13,20910313,-7.275902,-4.1716084,18.27578,17.795974731445312,8.43596,10.432525,-7.021008900810245,-4.573337655712126,17.028445977539064,60.17237354378722,56.92062434148667,8.379139770788596,2091,3,0.0666666666666666
2091-03-14,20910314,-4.4412236,1.0353338,18.929884,46.11657333374024,4.8707786,7.2747574,-3.91856903839652,1.148942253746986,18.614341050984702,103.12237718877356,106.34137692819456,4.083534205945266,2091,3,0.0
2091-03-19,20910319,-6.8175597,-2.3803139,17.934483,10.706291198730469,7.2722163,9.959668,-6.568012912605288,-2.3511861838553765,17.46860491426595,70.75362976821359,70.30388866745287,6.976164425477815,2091,3,0.0
2091-03-20,20910320,-7.7852407,2.0560236,17.678215,34.929100036621094,8.412489,10.164536,-7.839374112983068,2.403740068619567,17.496238610839843,104.7936315759486,107.04679526734662,8.199619064370994,2091,3,0.0
2091-03-21,20910321,-5.6371393,6.3140497,17.30369,41.280372619628906,8.80738,10.469956,-5.924359094299949,7.151433747038521,17.74093487166341,138.24174564320867,140.36112021998196,9.286605155625812,2091,3,0.1333333333333333
2091-03-23,20910323,-2.0483332,7.165792,17.029469,61.44133758544922,7.916304,11.918779,-1.690116320145607,8.201873720366157,17.23092009025065,164.0474779798991,168.35634568465633,8.374200003609628,2091,3,0.0
2091-03-29,20910329,-7.253502,-4.333953,18.98686,7.949802398681641,8.484682,11.54565,-6.796988626693728,-4.40998048039945,18.85003027652995,59.14176703498703,57.023933643685154,8.102282532034295,2091,3,0.0
2091-03-30,20910330,-7.014296,-0.4912645,18.482763,27.943931579589844,7.3056884,10.013525,-6.805346352691652,-0.2264489201641094,18.67498224255372,85.99368299710267,88.09417753733794,6.809112871258418,2091,3,0.0
2091-03-31,20910331,-4.9938173,0.15822549,17.995079,58.62545394897461,5.7113004,8.380308,-4.799348867993675,0.4520143164073595,17.837514995117186,91.8147682345919,95.38038433905945,4.820587775256186,2091,3,0.0
2091-04-01,20910401,-5.3321476,1.1276616,20.361889,54.91204833984375,6.0714917,8.635326,-5.022657910697304,1.4652008125030185,20.805245709309897,101.9411665627265,106.26292674664744,5.232007827674736,2091,4,0.0
2091-04-02,20910402,-4.4329023,3.8635075,19.730804,64.49032592773438,6.696211,7.7713504,-4.25566823864937,4.405073483025865,19.637074730428058,131.07386294156095,135.98830345114942,6.124980371258888,2091,4,0.0
2091-04-03,20910403,-2.110877,4.0934772,18.25868,79.07707214355469,5.502347,7.6501107,-1.7634343871787408,4.643222595723149,18.406543668253576,152.72127036161555,159.2038867090019,4.966811543769149,2091,4,0.0
2091-04-04,20910404,-1.156823,4.049049,18.07865,82.03236389160156,4.932801,7.4777412,-0.8571601492309575,4.658225520888325,18.19979749304199,164.05523304618004,169.57363643386446,4.736432045842625,2091,4,0.0
2091-04-05,20910405,-1.5286899,3.0386453,19.947592,98.86775207519533,4.4866157,6.958548,-1.1863586177056649,3.822646547587391,20.37443038399251,153.2938226324095,162.75826670235824,4.002508388196868,2091,4,0.0
2091-04-07,20910407,-4.325426,-4.6918445,18.975412,22.570045471191406,6.4722505,7.5312304,-3.69447812829749,-5.031050197571435,18.63322415450032,42.67305620926911,36.29115474804567,6.2418454587527314,2091,4,0.0
2091-04-08,20910408,-5.027843,-3.9575126,17.51876,7.835109710693359,6.4113917,8.899889,-4.616297447244643,-4.110702403273584,17.020608925374347,51.79303114406929,48.315700436411646,6.18126818458127,2091,4,0.0
2091-04-09,20910409,-3.4202247,1.879812,15.72218,55.5747299194336,4.341396,5.518086,-3.5888088746986395,2.389524276858169,15.29099969514974,118.79392237809628,123.65673077620691,4.31153979557307,2091,4,0.0
2091-04-10,20910410,-2.1747293,4.2802563,13.648271,62.44451904296875,5.160376,6.664204,-2.3184400094210305,5.351153553958256,13.25508464868164,153.06560904501345,156.5748517500577,5.831810047946029,2091,4,0.2666666666666666
2091-04-11,20910411,-0.7975416,3.7222543,15.693752,85.85285949707031,4.2665277,6.1909237,-0.4776362059880911,4.439377625366846,15.018123335205075,167.90648354099028,173.85912348549255,4.46499832540601,2091,4,0.0
2091-04-27,20910427,-4.921317,1.9467621,17.187561,38.760704040527344,5.533377,8.012452,-7.074332797498707,2.015754027112322,17.223452467000325,111.58263444096292,105.9043247439766,7.3559125081518895,2091,4,0.2333333333333333
2091-04-28,20910428,-0.18037444,7.6923656,18.177126,31.7574462890625,7.962525,12.327118,-1.1820659287099344,8.720931970804843,18.3164924387207,178.65674600895352,172.28096970759566,8.80067805906016,2091,4,0.0
2091-10-15,20911015,-5.02596,-2.2575839,14.311509,8.29092788696289,5.541736,7.2432423,-4.977633202526095,-2.431710364094734,14.245966772786456,65.81111771122636,63.9632219790972,5.539859889359652,2091,10,0.2333333333333333
2091-10-16,20911016,-4.8888326,-2.8607748,14.453605,12.014400482177734,5.672465,8.037264,-4.924029975023908,-2.822590133900009,14.46229352360026,59.66531388058903,60.17747273396364,5.6756573415705445,2091,10,0.2666666666666666
2091-10-25,20911025,-7.0057287,-7.4772463,17.370647,14.615859985351562,10.330736,13.838836,-6.352881444870634,-7.706742754868827,18.50302186022949,43.13529835576904,39.49970331421031,9.98764169072483,2091,10,0.2333333333333333
2091-10-26,20911026,-6.5567746,-6.201456,17.064259,17.163299560546875,9.144425,11.720662,-5.892259952957794,-6.953410928409578,17.880308664591464,46.59528327559886,40.27765133512406,9.114200507590116,2091,10,0.2333333333333333
2091-10-28,20911028,-7.2503433,-7.458909,16.585855,7.697059631347656,10.414104,13.373764,-7.052269685780842,-7.5070343080819475,17.312886451375324,44.187645027247015,43.210929268353226,10.300003486586926,2091,10,0.0333333333333333
2091-10-29,20911029,-8.673282,-5.0842338,11.83338,8.169258117675781,10.063834,13.547178,-8.258865389867147,-4.59951250602023,11.045365503377266,59.62138417549795,60.88576995275696,9.45327312738725,2091,10,0.2666666666666666
2091-10-31,20911031,-8.2403555,-6.377028,13.470834,6.884876251220703,10.438034,12.87862,-7.894179192976,-6.38595629697609,13.396254512084962,52.26450849088641,51.029048073578906,10.153743297804205,2091,10,0.2333333333333333
2091-11-21,20911121,-8.476581,-1.4703768,17.268812,19.313411712646484,8.77025,10.999008,-8.279247644448597,-1.2705337715924594,17.504581897908526,80.15919896564986,81.27544952179045,8.37616843329124,2091,11,0.1333333333333333
2091-11-22,20911122,-7.744454,-0.9525294,17.571035,29.472110748291016,8.031294,10.475056,-7.688326692189533,-0.6193256263608963,17.739956861938474,82.98812019361662,85.39453895651343,7.713230941525177,2091,11,0.0
2091-11-23,20911123,-6.0637264,-0.9608384,18.217625,23.361316680908203,6.2515564,8.775427,-6.1208524972744,-0.5858343024207787,18.83237615625,80.99595843707158,84.53280439245663,6.148824043935807,2091,11,0.0
2091-12-03,20911203,-6.6800885,-7.893817,17.684639,21.682357788085938,10.473902,14.02554,-6.314236116057717,-8.04282762249184,17.33769658414713,40.2393400006475,38.13463062370454,10.22529480721438,2091,12,0.1666666666666666
2091-12-08,20911208,-8.58262,-4.410438,18.199202,6.893032073974609,9.661054,13.38947,-8.478119705206556,-4.186955606933594,18.005003829996745,62.80226720723016,63.71734031540856,9.455639110617769,2091,12,0.1
2091-12-10,20911210,-4.529838,-2.3174443,20.869907,54.05568313598633,5.3023825,7.3443894,-4.387548781188336,-2.9477144360055894,21.13450443151856,62.90592367108812,56.10536210540039,5.285792722340047,2091,12,0.0333333333333333
2091-12-19,20911219,-8.817089,-1.8015352,17.202354,19.236045837402344,9.120339,12.483428,-8.874451621587118,-1.3288192844718312,17.27657900358073,78.45209638207189,81.48406358516246,8.973385775429165,2091,12,0.2333333333333333
2092-01-18,20920118,-6.5466313,-4.2310596,17.372747,9.336433410644531,7.8173785,11.427719,-6.028856631170276,-4.348237968804678,16.886707393066406,57.12558852949593,54.199440902464886,7.433322656293109,2092,1,0.0
2092-01-19,20920119,-6.292039,-4.1205153,14.612339,6.50872802734375,7.5274463,11.729226,-5.933069671957656,-3.99376636642202,13.804460731201166,56.78010901134471,56.05405974097252,7.152026672340328,2092,1,0.0
2092-01-20,20920120,-8.951541,-2.8605652,15.138753,8.873882293701172,9.429885,13.165128,-8.746746664666498,-2.524711130045256,15.062627269816078,72.27813721912318,73.89944109661607,9.103831254259324,2092,1,0.0
2092-01-21,20920121,-8.012392,-3.5215569,15.061682,4.869152069091797,8.759602,12.202923,-7.948372177715306,-3.347862280427934,14.265823123413083,66.27384862390264,67.15912563284996,8.62466243537629,2092,1,0.0666666666666666
2092-01-26,20920126,-6.4991946,-6.980897,17.482119,11.993125915527344,9.581041,13.28413,-5.991568174772265,-7.203518688152316,17.157183955729167,42.95344330334487,39.75218584135956,9.36960888636786,2092,1,0.0
2092-01-27,20920127,-6.2554827,-7.3570676,15.835812,14.15850830078125,9.712813,13.21717,-5.95620220337423,-7.559108111967726,14.750353587931311,40.37346588514612,38.23635640631886,9.623744600512646,2092,1,0.0666666666666666
2092-02-08,20920208,-5.91722,-1.4969057,16.212288,18.8367919921875,6.193055,9.617558,-5.048979056397124,-1.6170619981161738,15.922524964518228,75.80346896651457,72.24103437966036,5.301610983247287,2092,2,0.0
2092-02-09,20920209,-5.6008897,1.4486829,15.550336,37.863956451416016,6.058566,8.802414,-5.06923400699425,1.8044214247911767,15.253499821329752,104.50186344603662,109.59346357427528,5.380805710663823,2092,2,0.0
2092-02-10,20920210,-4.3024044,0.9663804,13.92699,41.36825180053711,4.804724,7.56158,-4.128484052342102,1.057254966053961,13.79469102811686,102.65933322280824,104.36406500238598,4.261709590491687,2092,2,0.0
2092-02-11,20920211,-4.4271197,-4.4498644,13.884683,43.71528625488281,6.5303364,9.185225,-3.424935163262214,-4.303271843408584,13.650775845214843,44.85319677227861,38.51596499856288,5.499848127977997,2092,2,0.0
2092-02-12,20920212,-7.167653,-5.7725782,14.389333,17.79742431640625,9.294749,12.053201,-6.837829815304444,-6.5409350379110975,13.768363899495442,51.15324122905025,46.27127027939383,9.462544465060096,2092,2,0.1333333333333333
2092-02-13,20920213,-6.6395254,-4.7454014,14.116349,16.062816619873047,8.193796,12.275007,-6.035545926731751,-4.766759446734112,14.166050754191083,54.44585044705519,51.69899153990392,7.690891382454776,2092,2,0.0333333333333333
2092-02-14,20920214,-5.862145,-1.2929214,12.748871,36.86109924316406,6.3424926,9.976335,-5.728443329781217,-0.8017266647756904,12.259943766357422,77.56229073797641,82.03289503471183,5.784274252447516,2092,2,0.0
2092-02-16,20920216,-10.057197,-5.40432,18.265402,10.62075424194336,11.512487,14.799307,-9.872699627593995,-5.609543673748016,18.55031031119792,61.74826229681295,60.39530686902114,11.355050777710376,2092,2,0.0
2092-02-19,20920219,-7.5058026,-1.13984,16.817049,38.241886138916016,7.990601,11.592936,-7.519548017480214,-0.5209424893800456,16.78777951949056,81.36497204632013,86.03697037952804,7.537571456671711,2092,2,0.0
2092-02-23,20920223,-3.0872035,-3.5190058,17.525055,35.15277099609375,5.0482736,9.448219,-2.764440440258668,-3.537273181010883,17.108041308430987,41.26029033208124,38.00824421440436,4.489368831454638,2092,2,0.0
2092-02-24,20920224,-4.8624163,0.34535122,18.021173,45.37399673461914,5.4236364,9.041643,-4.372497494154618,0.3496691794248422,17.51153882486979,94.06258832542773,94.57222053722136,4.386456755905392,2092,2,0.0
2092-02-25,20920225,-3.2102594,2.4914427,18.34367,76.8858642578125,4.934349,6.8254614,-2.6948410113592174,2.80799230082019,18.45937640600586,127.81459694591854,136.17797096315195,3.891913261876353,2092,2,0.0
2092-02-26,20920226,-0.99045205,3.445817,16.435179,95.10540008544922,4.7455835,7.240987,-0.3317558000729911,3.789362295440352,16.773485349080406,163.9634406894258,174.99655544086824,3.803857057906757,2092,2,0.0
2092-03-03,20920303,-5.2844086,-0.5074335,15.878452,43.239376068115234,5.590606,7.916563,-5.368021600930536,-0.6024221960908539,16.05457131673177,84.51501021464759,83.59681561930921,5.40171902364421,2092,3,0.0
2092-03-04,20920304,-3.7687027,1.9988831,13.182668,78.35091400146484,5.236533,7.7664957,-3.540013546624822,2.097964732378799,13.086514766153972,117.94104237138367,120.6528112186881,4.114991121326083,2092,3,0.1
2092-03-07,20920307,-5.8403287,-2.8242989,20.597456,16.62002182006836,6.5675745,9.538635,-5.5844554899152135,-2.727819805433912,20.592347056640623,64.19225796693055,63.96603738890883,6.215073934376137,2092,3,0.0
2092-03-08,20920308,-5.271195,2.7242782,20.269238,46.387481689453125,6.3726416,7.4177866,-5.3464852978007,3.066679457287786,20.07041286352539,117.33099024440202,119.83806217502088,6.1635564354802455,2092,3,0.0
2092-03-12,20920312,-6.02469,0.46825793,18.102266,41.86540222167969,6.476117,9.545653,-5.549225022232696,0.6565765302711345,18.130294540690105,94.4442740709644,96.7477849886746,5.5879326308999415,2092,3,0.0
2092-03-13,20920313,-5.5244985,5.498473,19.4892,46.30828094482422,8.234474,9.958007,-5.403434663586299,6.002297975789389,19.777561550130205,134.86472460801144,138.00558170205852,8.076180232870696,2092,3,0.0
2092-03-14,20920314,-1.5429248,6.1711745,19.049,58.52896118164063,6.7407184,9.843335,-1.4378796560659408,7.053206724955875,18.93374430371093,165.96261068547904,168.4774698812288,7.198279170071906,2092,3,0.0
2092-03-17,20920317,-4.752798,-1.2344831,20.30714,32.73588180541992,5.1993504,8.254222,-4.555769765041988,-1.1127487451691631,20.43242051155599,75.4398360155769,76.27422134639733,4.689695930649052,2092,3,0.0
2092-03-18,20920318,-5.5434065,-0.95334435,20.022224,35.54517364501953,5.9677343,8.804728,-5.441736770551684,-0.8369154213620841,20.34096553352865,80.24183916613066,81.25666474109767,5.505717619210773,2092,3,0.0
2092-03-19,20920319,-7.7784634,0.22666426,20.593113,30.24099349975586,8.089419,10.5221615,-7.750150627925873,0.6526878770173372,20.50218861641439,91.66912548630182,94.81387105251724,7.777585500677263,2092,3,0.0
2092-03-20,20920320,-8.113813,2.185581,18.552557,33.57967758178711,8.782354,11.070297,-8.12952372341283,2.730081091509182,18.3191460974528,105.07568282703323,108.56323573650332,8.575692318159973,2092,3,0.0
2092-03-21,20920321,-5.1329794,7.3102474,19.186495,47.83039855957031,9.517836,12.166516,-4.954703347935358,8.351693280404405,19.053211231852213,144.92492007939762,149.32115181068588,9.710811805199086,2092,3,0.0
2092-03-22,20920322,-1.5293365,7.643705,20.342432,53.82332611083984,8.215877,11.535384,-1.2464996917486189,8.978305369973496,20.161812097005207,168.68577570245793,172.09588736773117,9.064421040420855,2092,3,0.0
2092-03-23,20920323,-0.112355165,3.8508987,21.138369,68.78436279296875,4.223752,6.3836894,0.788025839469433,5.34562623076693,21.14736674568685,178.32879245082785,188.3858641709608,5.403397498124209,2092,3,0.0
2092-03-25,20920325,-8.524018,-7.240382,19.945074,6.494354248046875,11.214746,13.756235,-8.43379633966446,-7.495152772939681,20.370510524943032,49.6551107193101,48.37236281430072,11.283006504856896,2092,3,0.0
2092-03-26,20920326,-8.463042,-4.176023,18.88026,13.256427764892578,9.539342,12.25,-8.282836391705832,-4.46065879395739,18.80858391060384,63.73631956513557,61.695651600354125,9.40759563160938,2092,3,0.0
2092-03-27,20920327,-5.854057,0.68755466,19.269033,40.20377731323242,6.284349,8.111598,-5.699138352406185,0.9776606356434806,19.690829883870443,96.69865836757845,99.73407786070824,5.782386901475367,2092,3,0.0
2092-03-28,20920328,-5.9114246,2.85739,20.034704,65.50457000732422,7.441312,9.352454,-5.7938695863164265,3.6266270364608726,19.930155488932293,115.79760848291149,122.04418366688084,6.8353016352485465,2092,3,0.0
2092-04-02,20920402,-4.031615,-1.4722582,17.72125,28.43258285522461,4.4173036,6.1301193,-5.3375939444472,-2.246524230141956,17.685297658569336,69.938903806399,67.17440422128749,5.791094907909412,2092,4,0.1666666666666666
2092-04-03,20920403,-4.679289,4.940645,17.785988,43.53473663330078,7.010115,9.322749,-5.150349905028656,5.555621356229782,17.889199837198888,136.55624074039758,137.16788007815234,7.575686952219259,2092,4,0.0333333333333333
2092-04-04,20920404,-4.832865,5.4967422,17.336185,53.779747009277344,7.812327,10.746257,-4.906949661611555,6.331902545106885,17.235338240926104,138.6773041546013,142.22586930333887,8.010689409927263,2092,4,0.0
