yyyymmdd,CS,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY,FT,NE,SNE,SWF,SSWF,DS,AQIN,AQIC,AQIS,week-synoptic
19800318,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800319,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,9,9,0
19800320,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800321,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800322,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800323,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19800324,0,0,0,0,0,0,1,1,0,1,1,0,0,9,9,9,9,0
19800325,0,0,0,0,0,0,1,1,1,1,1,0,0,9,9,9,9,0
19800326,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800327,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800328,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800329,0,0,0,0,0,0,0,1,0,1,0,0,0,9,9,9,9,0
19800330,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800331,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,9,9,0
19800401,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800402,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800403,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800404,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800405,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800406,0,0,0,0,0,0,0,1,0,1,0,0,0,9,9,9,9,0
19800407,0,0,0,0,0,0,0,1,0,1,0,0,0,9,9,9,9,0
19800408,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800409,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800410,0,0,0,0,0,0,0,1,1,1,0,0,0,9,9,9,9,0
19800411,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,9,9,0
19800412,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800413,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800414,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800415,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,9,9,0
19800416,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800417,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800418,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800419,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800420,0,0,0,0,0,0,0,0,1,1,0,0,0,9,9,9,9,0
19800421,0,0,0,0,0,0,0,0,1,1,0,0,0,9,9,9,9,0
19800422,0,0,0,0,0,0,0,0,1,1,0,0,0,9,9,9,9,0
19800423,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800424,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800425,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800426,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800427,0,0,0,0,0,0,0,0,1,1,0,0,0,9,9,9,9,0
19800428,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800429,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800430,0,0,0,0,0,0,0,0,1,1,0,0,0,9,9,9,9,0
19800501,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800502,0,0,0,0,0,0,0,0,1,0,0,1,0,9,9,9,9,0
19800503,0,0,0,0,0,0,0,0,1,0,0,1,1,9,9,9,9,0
19800504,0,0,0,0,0,0,0,0,1,0,0,1,1,9,9,9,9,0
