date,yyyymmdd,meanU,meanV,wdCor,meanWS,maxWS,std_uv,ish_u,ish_v,meanWD,ish_wd,ish_ws,year,month,prRatio
2001-01-01,20010101,-4.807586,-4.2623153,12.547317504882812,6.4899135,9.435075,1.4018704,-4.602123256344479,-4.364939174349466,48.440408403668414,46.51515382463788,6.342888337528677,2001,1,0.0
2001-01-02,20010102,-3.9517465,-1.2897295,43.39773941040039,4.3150635,5.895966,1.0282596,-3.8550885796518353,-1.028321382262385,71.92489720430368,75.0644512696945,3.989881304272099,2001,1,0.0
2001-01-03,20010103,-5.370581,-3.3116891,18.84427261352539,6.3882647,10.6936455,1.6393099,-4.6080478467928545,-2.397507144347502,58.340556992842096,62.51262843162874,5.194434085204044,2001,1,0.1
2001-01-04,20010104,-10.926718,-3.0319288,16.24374771118164,11.402371,15.481373,2.332016,-13.045218554537449,-3.0053183578907534,74.49181158104363,77.0267217456796,13.386921437280616,2001,1,0.2
2001-01-05,20010105,-10.780808,5.317408,34.75139617919922,12.4940815,15.918208,2.994906,-11.700979923591593,6.818995416461002,116.25385465180187,120.23240531451859,13.54295498264724,2001,1,0.4
2001-01-06,20010106,-4.966097,9.373287,36.06941223144531,11.004488,13.524265,2.3223248,-5.566754441414511,10.71077056003189,152.08473997018734,152.53755457812906,12.071013254928271,2001,1,0.3
2001-01-07,20010107,-3.9709315,-4.6102304,46.779884338378906,6.429407,9.309471,1.7026155,-3.9825299184694334,-5.413394386119522,40.739319782648295,36.34120098894823,6.720519573007321,2001,1,0.3
2001-01-08,20010108,-7.152166,-2.1112323,25.017948150634766,7.633486,10.691472,1.7006443,-7.225103760882061,-1.8743454306793241,73.55404134100377,75.45684857260608,7.464267891027261,2001,1,0.0
2001-01-09,20010109,-4.3549514,-9.132216,24.80567169189453,10.248209,12.145107,1.2471616,-4.828957000885013,-8.686233279766718,25.495438458600063,29.07109307281408,9.938283267593214,2001,1,0.1
2001-01-10,20010110,-5.7584386,-4.5592084,27.573009490966797,7.4500413,10.170402,1.2869858,-5.881644619915016,-4.05033700511042,51.629795875980676,55.447139010513865,7.141356544098754,2001,1,0.1
2001-01-11,20010111,-6.626527,-7.2459645,13.499382019042969,9.870026,11.4084635,0.8139529,-6.705469205390932,-7.904911082710267,42.44331388351202,40.30681690325605,10.365854354080117,2001,1,0.1
2001-01-12,20010112,-3.8961987,1.4265264,53.37862777709961,4.278237,8.154707,1.565801,-3.8032955844806047,2.275267287985482,110.10933902675083,120.8893710559625,4.431918155235549,2001,1,0.03333333333333333
2001-01-13,20010113,-4.073939,-13.318263,16.32928466796875,14.02633,15.82581,1.3545792,-3.641851269692744,-14.155105852622986,17.008408041193036,14.428240568879232,14.616090529602099,2001,1,0.0
2001-01-14,20010114,-4.621494,-10.725675,29.05158233642578,12.016654,13.509875,1.7553345,-3.429584936120044,-11.096386078219094,23.310311750013142,17.174927396104408,11.61429450422866,2001,1,0.1
2001-01-15,20010115,-4.380327,-9.898366,25.97283172607422,11.08729,13.5371,1.5555805,-3.0625783768202557,-9.769746502891541,23.870843585875946,17.404941702309685,10.23852201467226,2001,1,0.06666666666666667
2001-01-16,20010116,-5.5196986,-6.677148,31.32373046875,8.798252,10.990303,1.397912,-4.817360175218906,-6.916991501108803,39.57901247399113,34.855401942278434,8.429218853737073,2001,1,0.0
