,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
20080109,90,93,77.33333333,66.08333333,108.7916667,112.375,117.9166667,113.4583333,106.0416667,105.4166667,104.0833333,118.25,90.29166667,,,,123.4583333,125,117.1666667,126.5,92.41666667,113.375,91.375,145.7916667,153.125,140.8333333,77.16666667,93.70833333,120.9583333,130.5833333,124.75,,139.5,141.0434783,135.2083333,113,144.9583333,136.8333333,145.375,134.25,115.0416667,151,,128.875,,,,126.8333333,92.375,101.7826087,124.8333333,99.91666667,,112.0833333,116.3333333,107.7916667,107.7083333,,95.16666667,7.583333333,20.125,,42.29166667,62.04166667,54.875,,131.375,122.25,87.66666667,107.2916667,,,,
20080110,58.54166667,64.625,48.04166667,59.375,92.29166667,95.875,92.25,89.95833333,76.58333333,,,89.25,91.79166667,,,,91.25,79.66666667,73.16666667,77.54166667,78.95833333,78.95833333,86.45833333,95.125,94.45833333,94.375,81.08333333,118.6666667,103.8333333,113,123.5416667,118.9583333,120.2083333,103.25,111.8333333,,133.5416667,,,,,141,109.6666667,,117.7083333,131.9583333,,110.25,88.83333333,86.25,,64.875,98.16666667,101.2916667,90.70833333,81.83333333,82.875,80.04166667,70.875,8.875,,25.91666667,32.54166667,,,,92.20833333,95.08333333,88.91666667,80.70833333,75.95833333,12.875,,
20080111,55.54166667,65.91666667,47.83333333,52.95833333,94.79166667,100.9166667,97.25,93.25,70.5,74.66666667,69.69565217,79.45833333,76.41666667,,,,,85.79166667,70,90.75,65.75,80.04166667,64.75,87.04166667,74.375,73.66666667,40.79166667,59.66666667,79.20833333,82.91666667,,86.875,99.04166667,94.66666667,98.04166667,77.20833333,90.5,86.29166667,87.66666667,78.33333333,84,,80.08333333,,83.54166667,,63.13333333,78.08333333,,,63.75,,,70.25,71.41666667,71.16666667,64.79166667,60.58333333,44.79166667,,13.16666667,12.625,26.08333333,24.91666667,21.79166667,,97.41666667,82.125,73.79166667,70.91666667,72.75,7.916666667,,
20080112,27.875,36.08333333,23.45833333,21.75,49.41666667,49.25,46.58333333,26.95833333,45.375,35.5,28.45833333,,30.5,27.79166667,,,53.79166667,42.95833333,,47.66666667,27.58333333,44.20833333,24.375,42.95833333,33.75,30.375,38.91666667,34.70833333,43.75,40.75,40.04166667,43.08333333,49.33333333,41.375,55.83333333,42.125,53.125,54.5,65.91666667,56.625,32.29166667,64.75,57.29166667,60.66666667,62.625,74.25,48.23076923,68.08333333,,55.70833333,62.91666667,,64.25,71,65.125,65.5,49.54166667,48.75,57.75,7,15.54166667,18.375,,28.5,19.5,,50.45833333,51,29.08333333,61.33333333,49.41666667,12.08333333,,
20080113,11.20833333,13.75,10.41666667,9.083333333,11.875,17,8.791666667,9.666666667,7.739130435,9.5,8.375,14.16666667,16.33333333,,15.91666667,,12.25,11.66666667,14.375,10.41666667,9.916666667,17.625,2.75,16.375,11.58333333,9.708333333,6.625,10,12.95833333,13.54166667,13.91666667,12.41666667,17.54166667,13.66666667,16.95833333,15.79166667,19.54166667,14.20833333,20.16666667,14.79166667,11.25,24.95833333,20.95833333,25.375,22.16666667,34.625,46.375,36.70833333,38.08333333,40.66666667,62.33333333,,35.58333333,34.58333333,42.79166667,47.58333333,45.125,46.25,57,4.708333333,9.458333333,6.916666667,2.25,13.29166667,8.708333333,,15.70833333,22.20833333,19.83333333,43.33333333,36.13043478,7.125,,
20080114,6.75,9.291666667,5.791666667,5.375,6.75,11.91666667,,,6.166666667,6.125,,,11.875,,,,7.625,7.916666667,,10.04166667,7.166666667,13.25,1.5,13.29166667,,7.208333333,5.739130435,9.166666667,8.041666667,10.875,11.45833333,10.75,,9.791666667,15.625,11.875,18.31818182,12,16.91666667,12.70833333,9.625,21.83333333,18.375,19.375,18.83333333,20.91666667,38.66666667,29.91304348,32.04166667,36.91666667,49.25,,28.33333333,29.125,,44.91304348,42.08333333,37.58333333,46.45833333,3.833333333,,5.25,,9.333333333,3.791666667,,14.41666667,,11.29166667,41.41666667,21.875,6.708333333,,
20080115,10.70833333,,,,,,10.29166667,9,,8.625,8,16.79166667,15.25,,18.08333333,,13.08333333,13.83333333,13,,11.45833333,16.70833333,3.958333333,17.125,14.04166667,12.625,9.916666667,,,,,,20.83333333,,17.5,,21.54166667,15.08333333,21.70833333,19.45833333,11.79166667,26.95833333,23.625,25.66666667,25.125,30.66666667,40.91304348,37.83333333,40.20833333,40.54166667,66.30434783,57.5,35.375,37.20833333,40.75,52.16666667,49.16666667,45.875,60.29166667,3.791666667,9.625,8.458333333,2.791666667,10.04166667,6.625,,19.16666667,24.83333333,14.16666667,,,10.20833333,,
20080116,8.041666667,7.375,5.833333333,7.5,,7.875,,,,6.833333333,6.708333333,,12.41666667,16.54166667,12.54166667,,12.25,11.91666667,13.04166667,11.95833333,9.125,14.375,,13.375,,,,10.54166667,10.41666667,11.66666667,,13.08333333,16.91666667,10.54166667,13.58333333,12.58333333,17.04166667,13.875,16.625,16.70833333,10.5,21.75,17.95833333,20.41666667,21.29166667,23.08333333,37.17647059,28.66666667,35.75,37.25,45.875,43.375,30.29166667,,35.58333333,42.70833333,,35.25,38.375,,8.666666667,4.625,3.375,11.125,5.416666667,,14.375,19,10,39.91666667,,8,,
20080117,9.916666667,9.541666667,8.083333333,,10.20833333,,11.5,9.333333333,10.70833333,,10.375,16.625,15.625,,19.125,,14.125,13.25,12.625,12.75,11.66666667,18.66666667,4.166666667,18.66666667,12.45833333,11.375,8.083333333,12.45833333,12.91666667,18.91666667,17.83333333,17.04166667,,14.66666667,21.71428571,22.79166667,26.33333333,,20.20833333,,,,22.95833333,27.125,25.83333333,28.91666667,45.625,39.83333333,,44.45833333,54.91666667,46.66666667,36.79166667,37.54166667,44.04166667,,,,43.91666667,,8.583333333,11.875,3.458333333,,,17.54166667,15.375,27.33333333,,48.95833333,35.5,7.5,,
20080118,10.41666667,10.41666667,7.833333333,8.625,10.08333333,12.875,11.5,9.208333333,9.375,6.458333333,9.291666667,15.75,14.95833333,,13.625,,9.958333333,13.66666667,13.04166667,12.625,9.375,,2,16.5,11.45833333,13.125,12.04166667,14,18.95833333,23.33333333,19.08333333,18.91666667,,18.16666667,19.70833333,28.95833333,30.08333333,19.20833333,25.52173913,20.41666667,12.75,37.79166667,28.5,,28.58333333,31.125,46.16666667,,47.25,50.20833333,65,48.75,43.375,39.83333333,45.45833333,48,42.58333333,48.95833333,,4.125,8.708333333,,2.625,8.541666667,5.916666667,21.70833333,16.45833333,35.125,14.70833333,48.70833333,41.5,6.875,,
20080119,12.29166667,11.45833333,10.04166667,7.791666667,9.791666667,12.875,11.125,11.25,11.66666667,10.5,11.33333333,,,,,,11.41666667,17.79166667,16.5,13.625,14.83333333,22.91666667,14.5,24.58333333,20.125,19.54166667,22.33333333,32.20833333,26.29166667,38.625,34.75,30.125,38.45833333,19.875,24.20833333,45.54166667,43.29166667,23.25,36.08333333,31.41666667,20.75,47.625,36.875,38.45833333,39.625,47.08333333,49.5,56.45833333,51.45833333,55.45833333,70.20833333,56.375,49.79166667,49.375,58.25,62.625,57.70833333,55.83333333,,4.708333333,9.833333333,14.33333333,4.083333333,11.625,9.958333333,,17.875,52.54166667,12.33333333,63.20833333,49.08333333,6.375,,
